code,description/en,License,access/availableOnline,access/exampleIdentifiers,access/guidanceOnLocatingIds,access/languages,access/onlineAccessDetails,access/publicDatabase,confirmed,coverage,data/availability,data/dataAccessDetails,data/features,data/licenseDetails,data/licenseStatus,deprecated,formerPrefixes,links/opencorporates,links/wikipedia,listType,meta/lastUpdated,meta/source,name/en,name/local,quality,quality_explained/Availability: API,quality_explained/Availability: Bulk download,quality_explained/Availability: CSV format,quality_explained/Availability: Excel format,quality_explained/Availability: JSON format,quality_explained/Availability: PDF format,quality_explained/Availability: RDF format,quality_explained/Availability: XML format,quality_explained/License: Closed License,quality_explained/License: No License,quality_explained/License: Open License,quality_explained/List type: Local,quality_explained/List type: Primary,quality_explained/List type: Secondary,quality_explained/List type: Third Party,registerType,sector,structure,subnationalCoverage,url
AD-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Andorra.",https://gov-id-finder.codeforiati.org/countries/AD/,True,AD,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Andorra Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/AD/
AE-ACCI,There are 2 types of search available: Commercial search and Industrial search. You can also use an online enquiry form to find the required information. The contact details of Ajman Chamber and the heads of its sectors are also available.,,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Ajman Chamber of Commerce and Industry,غرفة تجارة وصناعة عجمان,75,,,,,,,,,,,,,75,,,,,company,AE-AJ,https://www.ajmanchamber.ae/en/Pages/default.aspx
AE-ADCD,"This register includes information on companies' Unified no., Membership no., name, address, phone number, email, activity etc.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Abu Dhabi Commercial Directory,دليل أبوظبي التجاري,75,,,,,,,,,,,,,75,,,,,company,AE-AZ,http://www.abudhabichamber.ae/English/E-Services/Pages/EServices-Page.aspx?sm=1&ty=s
AE-AFZ,"The authority's website can be used to find its address, email and call center contacts. No clear search functionality directly on the website.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Ajman Free Zone Authority,سلطة المنطقة الحرة في عجمان,75,,,,,,,,,,,,,75,,,,,company,AE-AJ,http://www.afz.gov.ae/
AE-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for United Arab Emirates (the).",https://gov-id-finder.codeforiati.org/countries/AE/,True,AE,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,United Arab Emirates (the) Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/AE/
AE-DCCI,"This register includes information on companies name, address, phone number, website, activity and branches.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Dubai Chamber of Commerce and Industry ,غرفة تجارة وصناعة دبي,75,,,,,,,,,,,,,75,,,,,company,AE-DU,http://www.dcciinfo.com/
AE-DFSA,"This register includes information on companies' name, DFSA reference number, address, phone number, legal status, services.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Dubai Financial Services Authority ,هيئة دبي للخدمات المالية,75,,,,,,,,,,,,,75,,,,,company,AE-DU,https://www.dfsa.ae/Public-Register/Firm
AE-DIFC,"This register includes information on companies' name, registration number, activity, phone number, address, etc.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Dubai International Financial Centre,مركز دبي المالي العالمي,75,,,,,,,,,,,,,75,,,,,company,AE-DU,https://www.difc.ae/public-register
AE-DMCC,"Dubai Multi Commodities Centre is a Free Zone Authority established by the government of Dubai in 2002. The DMCC authority registers and licenses companies to operate in the DMCC Free Zone.

N.B There is a 'Business Directory', however, this does not provide registration numbers[1] 

[1]: https://www.dmcc.ae/business-search",,False,JLT-65609,Use the license number given for the company (not the plot number).,"AE, EN",,,True,AE,data_not_available,,,,,False,,,https://en.wikipedia.org/wiki/Dubai_Multi_Commodities_Centre,primary,2018-01-09,Desk research (prompted by request from publisher),Dubai Multi Commodities Centre,مركز دبي للسلع المتعددة,75,,,,,,,,,,,,,75,,,,,company,AE-DU,https://www.dmcc.ae/
AE-FCCI,"There is no company information available directly from this registry, but Chamber of Commerce and Industry can be contacted via the form on the website, phone or email to request more information.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Fujairah Chamber of Commerce and Industry,غرفة تجارة وصناعة الفجيرة,75,,,,,,,,,,,,,75,,,,,company,AE-FU,http://www.fujcci.ae/
AE-FFZ,"There is no search available in this registry, but there is a list of companies with corresponding phone and fax numbers.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Fujairah Free Zone Company Listing,شركة الفجيرة للمنطقة الحرة,75,,,,,,,,,,,,,75,,,,,company,AE-FU,http://www.fujairahfreetradezone.com/appdir/company-listing.php
AE-HFZA,"A register that contains company names, addresses, phone numbers, emails, license numbers, activities, etc.",,False,TRUE,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Hamriyah Free Zone Authority,سلطة المنطقة الحرة بالحمرية,75,,,,,,,,,,,,,75,,,,,company,AE-SH,http://www.hfza.ae/en-us/directory.aspx
AE-RAKIA,"The Ras al-Khaimah Investment Authority is the registering body for companies in the (RAK) free trade zone.

 There is no open registry but you can request more information via the contact form on the website or a phone call.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Ras al-Khaimah Investment Authority,هيئة رأس الخيمة للاستثمار,75,,,,,,,,,,,,,75,,,,,company,AE-RK,https://www.rakez.com
AE-RK_CR,This entry was imported from the Open Corporates Jurisdiction List.,,False,,,,,,True,AE,,,,,closed_license,,,,,,2018-01-12,,Ras al-Khaimah Chamber of Commerce and Industry,,0,,,,,,,,,0,,,,,,,,,company,AE-RK,http://www.rakchamber.ae/
AE-SAIF,"This register contains information on company name, business type, phone number, email, PO box.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Sharjah Airport International Free Zone,المنطقة الحرة في مطار الشارقة الدولي,75,,,,,,,,,,,,,75,,,,,company,AE-SH,http://www.saif-zone.com/en/InvestorLounge/Pages/Investors.aspx
AE-SCCI,"This business directory allows you to search for company names and provides information on their address, email, phone number, activity.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Sharjah Chamber of Commerce and Industry,غرفة تجارة وصناعة الشارقة: دليل الأعمال,75,,,,,,,,,,,,,75,,,,,company,AE-SH,http://www.sharjah.gov.ae/BusinessDirectory
AE-UQCCI,"This register includes information about company name, PO box, address, activity, registration date.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Umm al-Quwain Chamber of Commerce and Industry,غرفة تجارة وصناعة أم القيوين,75,,,,,,,,,,,,,75,,,,,company,AE-UQ,http://www.uaqchamber.ae/
AF-CBR,"The Afghan Central Business Registry is a service which allows a single place to register a business in Afghanistan. All companies, groups and individuals are required to register at the ACBR, where they receive confirmation of their registration, become published in the ACBR Gazette and receive the Tax Identification Number. 

""The new Central Registry is a one stop shop to register your business. It brings together all of the functions previously done by the commercial courts, the Ministry of Justice and the Ministry of Finance."" [1]

""ACBR exists to provide services to businesses in Afghanistan intending to register their names and protect their intellectual property rights."" [2]

""All corporations, partnerships, limited liability companies and sole proprietorships doing Trade are required to register with ACBR, which facilitates the registration process, including assistance for completing the application form, paying fees, publishing key business information in the Official Gazette and reporting specification of businesses to the Revenue Department of MoF. Registration is required only one time unless a business makes major changes (i.e., change in ownership, executive management, or location or if the initial capital increases or decreases).

Businesses are referred to ACBR from either the Trader License office located in the Ministry of Commerce and Industry, from AISA, or from any other license departments after they acquire a business license."" [3]

[1] http://acbr.gov.af/FAQ.html
[2] http://acbr.gov.af/index.html
[3] http://acbr.gov.af/registration.html",,True,"102164, 121048, 14941","An online search is available at  https://www.acbrip.gov.af/companyverification/ 

This returns access to four identifiers (Reference, Registration, TIN Number, License).

The Registration Number should be used. ","en, ar",, https://www.acbrip.gov.af/companyverification/ ,True,AF,data_not_available,,"directors_trustees_governors, registered_address, industry_classifications, date_of_registration, registration_number, tax_id_number",,no_license,False,,,,primary,2018-07-24,Desk research,Afghanistan Central Business Registry,,80,,,,,,,,,,5,,,75,,,,,company,,http://acbr.gov.af/
AF-COA,"The Government of Afghanistan provide a Chart of Accounts spreadsheet on an annual basis. 

This includes codes for each ministry or portfolio, each sub-organization and each organizational unit assigned funds within the budget covering centrally budgeted government departments and agencies, hospitals, universities and services. 
",,True,"20000, 28010, 42000",The five-digit 'Unit' code from the Organization tab of the Chart of Accounts spreadsheet should be used. ,en,An excel spreadsheet is provided for download. This contains an 'Organization' tab.,http://www.budgetmof.gov.af/index.php/en/84-budget-execution-directorate/124-chart-of-accounts,True,AF,excel,A download of the Chart of Accounts is available from http://www.budgetmof.gov.af/index.php/en/84-budget-execution-directorate/124-chart-of-accounts,,,no_license,False,,,,secondary,2018-07-24,Desk research,Afghanistan Chart of Accounts,,56,,,,1,,,,,,5,,,,50,,,,government_agency,,http://www.budgetmof.gov.af/index.php/en/84-budget-execution-directorate/124-chart-of-accounts
AF-MOE,"NGOs wishing to operate in Afghanistan must register with the NGOs Department of the Ministry of Economy. The register contains government departments, national NGOs and international NGOs.",,False,"89, 176, 2620",,en,"The system provides an online interface to browse a list of organisations. An 'Export to Excel' option is presented, but does not appear to work. ",http://ngos.moec.gov.af/Public/Default.aspx,True,AF,"available:_stated_as_available,_but_unable_to_access","http://ngos.moec.gov.af/Public/Default.aspx - button for Excel download, but not found to be working","date_of_registration, e-mail_address, registration_number, phone_number, organisation_name",,no_license,,,,,secondary,2016-11-18,Desk research,Ministry of Economy NGO Department , وزارة الاقتصاد  انسجام موسسات غیر دولتی,55,,,,,,,,,,5,,,,50,,,,charity,,http://moec.gov.af/en
AF-TIN,"TIN is a ten digit number which is issued to all individuals, companies and organizations that operate in Afghanistan. It is a permanent identification number and never changes, but the date of issue has to be renewed annually on the date of expiration.",,True,"9000082348, 9000453309","Enter the name, or one of reference number, registration number, licence number, or TIN number of the desired business or organisation. Note that only the top 50 results are shown, so a generic search such as ""consulting"" will likely not show the desired results. As such it is advisable to include the full name.",en,"Information on the Afghanistan Tax Identification Number can be found here: https://www.ahg.af/data/offer/taxation/English/Guide%2018%20-%20Taxpayer%20Identification%20No.pdf

An identifier lookup portal can be found here: https://www.acbrip.gov.af/companyverification/",https://www.acbrip.gov.af/companyverification/,True,AF,data_not_available,"Research suggests that the information can only be accessed via a web portal, and no download function is provided.",,Copyright © 2017 Directorate General of Afghanistan Central Business Registry & Intellectual Property. All rights reserved.,closed_license,False,,,,primary,2018-10-16,"Information provided by a github issue, and found on the portal pages linked within the record.",Afghanistan Tax Identification Number,,75,,,,,,,,,0,,,,75,,,,,"charity, company, trust",,https://www.acbrip.gov.af/companyverification/
AG-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Antigua and Barbuda.",https://gov-id-finder.codeforiati.org/countries/AG/,True,AG,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Antigua and Barbuda Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/AG/
AI-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Anguilla.",https://gov-id-finder.codeforiati.org/countries/AI/,True,AI,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Anguilla Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/AI/
AL-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Albania.",https://gov-id-finder.codeforiati.org/countries/AL/,True,AL,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Albania Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/AL/
AL-QKB,"The list is the trade register of all the businesses registered with the National Business Center (NBC) of Albania. The NBC provides service in the territory, through service desks at local government units, through service desks open to the Union of Chambers of Commerce and Industry and / or chambers of commerce through the electronic desks.
",,True,"L39308501E, L62406015S, K31712102D, J91807001S","Each business is assigned a Numri i Identifikimit për Personin e Tatueshëm (NIPT) aka a NUIS code which consists of two letters, one at the beginning and one at the end, and 8 numbers from 0 to 9 in the middle. ","al, en","An online search is available at the center's website. It is possible to search by NUIS (equivalent of a VAT number), name of company, address, shareholder name, trade name and identification number.",http://www.qkr.gov.al/search/search-in-trade-register/search-for-subject/,True,AL,pdf,Following a search on the database it is possible to download PDFs with the registration details of individual businesses.,"shareholders, registered_address, date_of_registration, legal_representatives, registration_number, tax_id_number, post_code_zip_code, objectives_purpose, status","At the bottom of each page on the NBC website there is ""© 2018 QKB ALL RIGHTS RESERVED"". Individual records can be downloaded as pdfs. They contain no license information.",no_license,False,,,https://en.wikipedia.org/wiki/National_Business_Center_(Albania),,2018-12-17,original desk research,Albanian National Business Center,Qendra Kombetare e Biznesit,6,,,,,,1,,,,5,,,,,,,,"company/sole_trader, company, company/limited_company",,http://www.qkr.gov.al
AM-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,True,"101001, 101002",The codes from the Organisation or Administrative classification should be used. ,en,Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.,https://gov-id-finder.codeforiati.org/countries/AM/,True,AM,"json, csv",A download of the data is available from https://gov-id-finder.codeforiati.org/countries/AM/,,,no_license,False,,,,secondary,2022-03-23,Desk research,Armenia Chart of Accounts,,57,,,1,,1,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/AM/
AM-SRALE,The State Register Agency of Legal Entities of Armenia maintains an Electronic Register where on line applications for the registration of legal entities can be made. It also has a search function that allows unregistered users to see limited details about existing companies. Full information about any company requires registration and the payment of a fee.,,True,"16.110.00666, 26.180.01938","The free, unregistered search facility provides basic information about a company or indivdual. At present search is only available in Armenian and the charters of companies registered before April 2011 are not available electronically.","en, am, ru",,https://www.e-register.am/am/search,True,AM,Data not available,,,,,False,,,,primary,2019-11-19,,State Register Agency of Legal Entities of Armenia,իրավաբանական անձանց պետական ռեգիստրի,75,,,,,,,,,,,,,75,,,,,"Company, Company > Listed company, Company > Limited Company, Company > Mutual, Company > Partnership, Company >  Sole trader, Government Agency, Government Agency > Local Government, Government Agency > Public service, Trust",,https://www.e-register.am/
AO-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Angola.",https://gov-id-finder.codeforiati.org/countries/AO/,True,AO,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Angola Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/AO/
AQ-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Antarctica.",https://gov-id-finder.codeforiati.org/countries/AQ/,True,AQ,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Antarctica Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/AQ/
AR-CENOC,"Law Nº 25.855, de Voluntariado Social (Social Volunteering) established in 2004 a role for  El Centro Nacional de Organizaciones de la Comunidad to maintain a database of civil society organisations (CSOs).

""The CSOs that receive or intend to receive public funds must be included in the database, to carry out projects financed in whole or in part with state resources, whatever the subject matter.""

Registration for the database requests detailed information, including capturing a CUIT number for the organisation (where known), address and contact information. However, only a basic list of identifiers and names is currently published. ",,True,"9316-A, 10434-A, 11890-A",Download the Excel spreadsheet and use the search function to locate an organization name. ,es,An excel spreadsheet of the list is available to download from the CENOC website.,http://www.cenoc.gob.ar/public/documentos/ListadoOrganizacionesWeb.xls,True,AR,"bulk, excel",,,,no_license,False,,,,secondary,2017-7-14,IATI - https://discuss.iatistandard.org/t/proposed-addition-to-the-organisation-registration-agency-codelist-argentina/944,The National Centre of Community Organisations (Argentina), El Centro Nacional de Organizaciones de la Comunidad ,58,,2,,1,,,,,,5,,,,50,,,,charity,,http://www.cenoc.gob.ar/
AR-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Argentina.",https://gov-id-finder.codeforiati.org/countries/AR/,True,AR,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Argentina Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/AR/
AR-CUIT,"Any citizen or company starting an economic activity in Argentina must register with the AFIP (Federal Administration of Public Revenues) and receive a Unique Tax Identification Code (CUIT). 

This is an 11 digit number, consisting two digits, hyphen, nine digits, and a one digit checksum. 
",,,"30-69330706-2, 30-70737344-6",Use a third-party service to search for identifiers. Identifiers can be verified at http://www.afip.gob.ar/futCont/,es,Third party search services such as https://www.dateas.com/es/consulta_cuit_cuil exist and provide name based search of CUIT (tax identifier) and CUIL (labour identifier).,http://www.afip.gob.ar/futCont/,True,AR,,,"industry_classifications, status",,no_license,False,,,,secondary,2017-06-26,Open Contracting,Unique Tax Identification Code (Argentina),Clave Única Identificación Tributaria (Argentina),55,,,,,,,,,,5,,,,50,,,,"company, unincorporated_body",,
AS-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for American Samoa.",https://gov-id-finder.codeforiati.org/countries/AS/,True,AS,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,American Samoa Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/AS/
AT-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Austria.",https://gov-id-finder.codeforiati.org/countries/AT/,True,AT,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Austria Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/AT/
AT-FB,Available only in German. Access can be obtained by using services of special companies like http://www.advokat.at/Advokat-Online/Module/Firmenbuch.aspx that are entitled to provide it (for full list see https://www.justiz.gv.at/web2013/html/default/2c9484852308c2a601240b693e1c0860.de.html),,True,,,de,"The query of the company book is subject to a charge. Charges are billed via the billing agencies commissioned by the Federal Ministry of Justice, in which the customer must obtain an access authorization or an ""account"".
The fees for the inquiry are governed by the tariff post 10 Z IV Court Fees Act (GGG), whereby the clearing offices may charge a surcharge to be approved by the Federal Minister of Justice in addition to the fees stated there.",,True,AT,,,,,,False,,,,primary,2017-10-24,ProZorro Business Register Research,Austria Company Register,Firmenbuch,75,,,,,,,,,,,,,75,,,,,company,,https://www.justiz.gv.at/web2013/html/default/2c9484852308c2a601240b693e1c0860.de.html
AT-UID,"""Since July 11, 2005, the records of all commercial register courts are kept electronically. The general ledger is kept by storing the entries in a central database, the so-called ""Firmenbuchdatenbank"" in the Federal Computing Center in Vienna.""[1]

Clearing houses commissioned by the Federal Ministry of Justice (Die Österreichische Justiz) provide the only access to the database.[2] Interfaces are mostly available only in German, and access/fees vary between the different operators.

Consider using the Business Register number with the prefix AT-FB (see list AT-FB) - which is a primary rather than secondary list - instead of the VAT number.

[1] https://www.justiz.gv.at/web2013/html/default/2c9484852308c2a601240b693e1c0860.de.html
[2] A full list of authorized clearing houses is available at https://www.justiz.gv.at/web2013/home/e-justice/firmenbuch/die_firmenbuchdatenbank~2c9484852308c2a601240b693e1c0860.de.html",,True,U12345678,,de,Choose a clearing house from the list at https://www.justiz.gv.at/web2013/home/e-justice/firmenbuch/die_firmenbuchdatenbank~2c9484852308c2a601240b693e1c0860.de.html,,True,AT,data_not_available,,,,,False,,,,secondary,2017-11-08,ProZorro Business Register Research,VAT number (Austria Company Register),Umsatzsteuer-Identifikationsnummer (Die Firmenbuchdatenbank),50,,,,,,,,,,,,,,50,,,,company,,https://www.justiz.gv.at/web2013/html/default/2c9484852308c2a601240b693e1c0860.de.html
AT-ZVR,"The central register of associations contains information about associations that have been established and formed under Austrian law [1]. They are identified by their official registration number, their ZVR-Zahl. Anyone can use the Central Register of Associations (ZVR) to search for an association, using its ZVR number, its name, or part of its name. A summary extract of the association is returned as a PDF. Additional details of an association can be requested where there is legitimate interest.

[1]: https://www.bmi.gv.at/609/start.aspx",,True,555769679,Use the search boxes at the foot of the page to find an association's details. Search by registration number (ZVR-Zahl) or by supplying all or part of its name (Vereinsname). The latter type of search can be temperamental.,de,,https://citizen.bmi.gv.at/at.gv.bmi.fnsweb-p/zvn/public/Registerauszug,True,AT,pdf,"Details of individual associations are returned in a PDF. There is no bulk access facility. 'The Association Act 2002 takes comprehensive precautions to protect personal data. This includes that information can only be queried for a clearly identifiable club (""individual query"").' (https://www.bmi.gv.at/609/faq.aspx#f3)","registered_address, contact_address, date_of_registration, legal_representatives, registration_number",,open_license,False,,,,primary,2020-12-02,Official Records,Austrian Central Register of Associations,Zentrales Vereinsregister,86,,,,,,1,,,,,10,,75,,,,,"charity, trust",,https://www.bmi.gv.at/609/zvr.aspx
